language,algorithm,data_size,before_first_20,after_first_20
Python,Improved Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Selection Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Heap Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Insertion Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Shell Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Merge Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Quick Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Bucket Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
Python,Heap Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[1, 4, 15, 16, 26, 37, 38, 45, 46, 49, 50, 69, 115, 129, 130, 151, 168, 176, 178, 209]"
Python,Shell Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[1, 4, 15, 16, 26, 37, 38, 45, 46, 49, 50, 69, 115, 129, 130, 151, 168, 176, 178, 209]"
Python,Merge Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[1, 4, 15, 16, 26, 37, 38, 45, 46, 49, 50, 69, 115, 129, 130, 151, 168, 176, 178, 209]"
Python,Quick Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[1, 4, 15, 16, 26, 37, 38, 45, 46, 49, 50, 69, 115, 129, 130, 151, 168, 176, 178, 209]"
Python,Bucket Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[1, 4, 15, 16, 26, 37, 38, 45, 46, 49, 50, 69, 115, 129, 130, 151, 168, 176, 178, 209]"
Python,Heap Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 9, 9, 11, 12, 12, 12, 13, 14, 15, 18]"
Python,Shell Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 9, 9, 11, 12, 12, 12, 13, 14, 15, 18]"
Python,Merge Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 9, 9, 11, 12, 12, 12, 13, 14, 15, 18]"
Python,Quick Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 9, 9, 11, 12, 12, 12, 13, 14, 15, 18]"
Python,Bucket Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 9, 9, 11, 12, 12, 12, 13, 14, 15, 18]"
