language,algorithm,data_size,before_first_20,after_first_20
Java,Quick Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Java,Bucket Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Java,Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Improved Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Selection Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Heap Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Insertion Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Shell Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Merge Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Quick Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Bucket Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Java,Heap Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Java,Shell Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Java,Merge Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Java,Quick Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Java,Bucket Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Java,Heap Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[9847, 42365, 54552, 142409, 225906, 238648, 245653, 266529, 293848, 365018, 376092, 382613, 404787, 414839, 419941, 426467, 441464, 471998, 522648, 529939]"
Java,Shell Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[9847, 42365, 54552, 142409, 225906, 238648, 245653, 266529, 293848, 365018, 376092, 382613, 404787, 414839, 419941, 426467, 441464, 471998, 522648, 529939]"
Java,Merge Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[9847, 42365, 54552, 142409, 225906, 238648, 245653, 266529, 293848, 365018, 376092, 382613, 404787, 414839, 419941, 426467, 441464, 471998, 522648, 529939]"
Java,Quick Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[9847, 42365, 54552, 142409, 225906, 238648, 245653, 266529, 293848, 365018, 376092, 382613, 404787, 414839, 419941, 426467, 441464, 471998, 522648, 529939]"
Java,Bucket Sort,1000000,"[441464, 365018, 404787, 54552, 852594, 793648, 604330, 426467, 636323, 419941, 546464, 783791, 266529, 376092, 382613, 238648, 609083, 530049, 414839, 522648]","[9847, 42365, 54552, 142409, 225906, 238648, 245653, 266529, 293848, 365018, 376092, 382613, 404787, 414839, 419941, 426467, 441464, 471998, 522648, 529939]"
Python,Bubble Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Improved Bubble Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Selection Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Heap Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Insertion Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Shell Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Merge Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Quick Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Bucket Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[44855, 62723, 77593, 95770, 120001, 127509, 128338, 131599, 183261, 262478, 277914, 292057, 294140, 318398, 337202, 432348, 463805, 466967, 498684, 500511]"
Python,Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Improved Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Selection Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Heap Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Insertion Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Shell Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Merge Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Quick Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Bucket Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[5364, 38941, 101083, 105081, 246422, 251045, 356095, 420827, 474343, 497767, 505600, 517903, 539742, 553880, 568165, 570244, 572805, 592740, 695709, 697165]"
Python,Heap Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Python,Shell Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Python,Merge Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
Python,Quick Sort,100000,"[133208, 306034, 912857, 49988, 114447, 522281, 955675, 971952, 145050, 883920, 540899, 414786, 567663, 139900, 756529, 341919, 638565, 384520, 439687, 610099]","[49988, 94014, 114447, 133208, 139900, 145050, 263523, 306034, 321070, 341919, 384520, 414786, 439687, 445621, 522281, 526900, 529583, 540899, 559666, 567663]"
